Time resolution is 1 ps
Simulation start!
Time = 3647000 ns, PN = 0, FSK_Out = 2050
Time = 3677000 ns, PN = 0, FSK_Out = 2090
Time = 3708000 ns, PN = 0, FSK_Out = 2206
Time = 3738000 ns, PN = 0, FSK_Out = 2396
Time = 3769000 ns, PN = 0, FSK_Out = 2650
Time = 3799000 ns, PN = 0, FSK_Out = 2961
Time = 3830000 ns, PN = 0, FSK_Out = 3314
Time = 3861000 ns, PN = 0, FSK_Out = 3698
Time = 3891000 ns, PN = 0, FSK_Out =    2
Time = 3922000 ns, PN = 0, FSK_Out =  401
Time = 3952000 ns, PN = 0, FSK_Out =  784
Time = 3983000 ns, PN = 0, FSK_Out = 1138
Time = 4013000 ns, PN = 0, FSK_Out = 1448
Time = 4044000 ns, PN = 0, FSK_Out = 1702
Time = 4074000 ns, PN = 0, FSK_Out = 1891
Time = 4105000 ns, PN = 0, FSK_Out = 2007
Time = 4135000 ns, PN = 0, FSK_Out = 2046
Time = 4166000 ns, PN = 0, FSK_Out = 2006
Time = 4196000 ns, PN = 0, FSK_Out = 1890
Time = 4227000 ns, PN = 0, FSK_Out = 1700
Time = 4257000 ns, PN = 0, FSK_Out = 1446
Time = 4288000 ns, PN = 0, FSK_Out = 1135
Time = 4318000 ns, PN = 0, FSK_Out =  782
Time = 4349000 ns, PN = 0, FSK_Out =  398
Time = 4379000 ns, PN = 0, FSK_Out = 4094
Time = 4410000 ns, PN = 0, FSK_Out = 3695
Time = 4440000 ns, PN = 0, FSK_Out = 3312
Time = 4471000 ns, PN = 0, FSK_Out = 2958
Time = 4501000 ns, PN = 0, FSK_Out = 2648
Time = 4532000 ns, PN = 0, FSK_Out = 2394
Time = 4562000 ns, PN = 0, FSK_Out = 2205
Time = 4593000 ns, PN = 0, FSK_Out = 2089
Time = 4623000 ns, PN = 0, FSK_Out = 2050
Time = 4654000 ns, PN = 0, FSK_Out = 2090
Time = 4685000 ns, PN = 0, FSK_Out = 2206
Time = 4715000 ns, PN = 0, FSK_Out = 2396
Time = 4746000 ns, PN = 0, FSK_Out = 2650
Time = 4776000 ns, PN = 0, FSK_Out = 2961
Time = 4807000 ns, PN = 0, FSK_Out = 3314
Time = 4837000 ns, PN = 0, FSK_Out = 3698
Time = 4868000 ns, PN = 0, FSK_Out =    2
Time = 4898000 ns, PN = 0, FSK_Out =  401
Time = 4929000 ns, PN = 0, FSK_Out =  784
Time = 4959000 ns, PN = 0, FSK_Out = 1138
Time = 4990000 ns, PN = 0, FSK_Out = 1448
Time = 5020000 ns, PN = 0, FSK_Out = 1702
Time = 5051000 ns, PN = 0, FSK_Out = 1891
Time = 5081000 ns, PN = 0, FSK_Out = 2007
Time = 5112000 ns, PN = 0, FSK_Out = 2046
Time = 5142000 ns, PN = 0, FSK_Out = 2006
Time = 5173000 ns, PN = 0, FSK_Out = 1890
